1,0,-1,-1,-1,-1,-1,-1,-1
2,1,64,-1,-1,-1,-1,-1,-1
3,2,65,128,-1,-1,-1,-1,-1
4,3,66,129,192,-1,-1,-1,-1
5,4,67,130,193,256,-1,-1,-1
6,5,68,131,194,257,320,-1,-1
7,6,69,132,195,258,321,384,-1
8,7,70,133,196,259,322,385,448
9,8,71,134,197,260,323,386,449
10,9,72,135,198,261,324,387,450
11,10,73,136,199,262,325,388,451
12,11,74,137,200,263,326,389,452
13,12,75,138,201,264,327,390,453
14,13,76,139,202,265,328,391,454
15,14,77,140,203,266,329,392,455
16,15,78,141,204,267,330,393,456
17,16,79,142,205,268,331,394,457
18,17,80,143,206,269,332,395,458
19,18,81,144,207,270,333,396,459
20,19,82,145,208,271,334,397,460
21,20,83,146,209,272,335,398,461
22,21,84,147,210,273,336,399,462
23,22,85,148,211,274,337,400,463
24,23,86,149,212,275,338,401,464
25,24,87,150,213,276,339,402,465
26,25,88,151,214,277,340,403,466
27,26,89,152,215,278,341,404,467
28,27,90,153,216,279,342,405,468
29,28,91,154,217,280,343,406,469
30,29,92,155,218,281,344,407,470
31,30,93,156,219,282,345,408,471
32,31,94,157,220,283,346,409,472
33,32,95,158,221,284,347,410,473
34,33,96,159,222,285,348,411,474
35,34,97,160,223,286,349,412,475
36,35,98,161,224,287,350,413,476
37,36,99,162,225,288,351,414,477
38,37,100,163,226,289,352,415,478
39,38,101,164,227,290,353,416,479
40,39,102,165,228,291,354,417,480
41,40,103,166,229,292,355,418,481
42,41,104,167,230,293,356,419,482
43,42,105,168,231,294,357,420,483
44,43,106,169,232,295,358,421,484
45,44,107,170,233,296,359,422,485
46,45,108,171,234,297,360,423,486
47,46,109,172,235,298,361,424,487
48,47,110,173,236,299,362,425,488
49,48,111,174,237,300,363,426,489
50,49,112,175,238,301,364,427,490
51,50,113,176,239,302,365,428,491
52,51,114,177,240,303,366,429,492
53,52,115,178,241,304,367,430,493
54,53,116,179,242,305,368,431,494
55,54,117,180,243,306,369,432,495
56,55,118,181,244,307,370,433,496
57,56,119,182,245,308,371,434,497
58,57,120,183,246,309,372,435,498
59,58,121,184,247,310,373,436,499
60,59,122,185,248,311,374,437,500
61,60,123,186,249,312,375,438,501
62,61,124,187,250,313,376,439,502
63,62,125,188,251,314,377,440,503
64,63,126,189,252,315,378,441,504
65,-1,127,190,253,316,379,442,505
66,-1,-1,191,254,317,380,443,506
67,-1,-1,-1,255,318,381,444,507
68,-1,-1,-1,-1,319,382,445,508
69,-1,-1,-1,-1,-1,383,446,509
70,-1,-1,-1,-1,-1,-1,447,510
71,-1,-1,-1,-1,-1,-1,-1,511
72,-1,-1,-1,-1,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1
74,-1,-1,-1,-1,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1
76,-1,-1,-1,-1,-1,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1
78,-1,-1,-1,-1,-1,-1,-1,-1
